Good to go,Registratio,Fuel,Brand,Model,Variant,Kar.,Vin,Colour, Km, Price,
Immidiatly ready,31.8.2022,Petrol,Mazda,Cx-5,"2,0 165 HK Sense AUT",suv,JMZKF6W7A90267771,Blue,"  54,000 ","  22,300 ",ask for pictures
1 week,7.2.2019,Petrol,Skoda,Kodiaq,1.5 tsi 150 dsg7 7prs style,suv,TMBJB7NS9K8015750,White,"  189,000 ","  13,600 ",https://www.dropbox.com/scl/fo/7kacm0hyzkp4sgev018m3/AGX2NoJ1ZuZbExILkKN2Nqs?rlkey=zt9hj3kd6ditl2ismca63no4h&dl=0
1 week,18.1.2018,Petrol,Suzuki,Vitara,"1,6 5-dørs aut.",suv,TSMLYD21S00403997,White,"  69,000 ","  12,000 ",https://www.dropbox.com/scl/fo/j6b8vm4y8mal6e1uupke6/AGQlADEXiKnfea7DpPBSAiM?rlkey=elpcasdl8v55xu1mc4n65ent8&dl=0
1 week,11.4.2014,Diesel,Dacia,Duster,"1,5 DCi Ambiance 90HK 5d 6g",suv,UU1HSDCL650667703,Green,"  280,000 ","  2,300 ",https://www.dropbox.com/scl/fo/wpx5k5qzcwtvfcfyhmg2n/AFRZiFaOF7HLpqW3duFRT6I?rlkey=hyudg0jq4ht8k0tukkl2ugqtq&dl=0
Immidiatly ready,6.5.2021,Petrol,Nissan,Qashqai,"1,3 Dig-T 140 HK N-Connecta",suv,SJNFFAJ11U2953576,Brown,"  66,000 ","  13,000 ",https://www.dropbox.com/scl/fo/us3hay8mm0eh2gup26ckf/ADpFHHCX5mRaz3H4uagJW3I?rlkey=svasy8q4bupkeu3wtiaq9nsmw&dl=0
1 Week,12.9.2019,Petrol,Mazda,Cx-3,"2,0 SkyActiv-G 121 HK Optimum AUT",suv,JMZDK6W7A01452312,Grey,"  37,000 ","  15,000 ",ask for pictures
Immidiatly ready,28.2.2020,Petrol,Renault,Captur,"1,3 TCe 130 HK ZEN EDC aut",suv,VF1RJB00664603471,Black,"  73,000 ","  12,700 ",https://www.dropbox.com/scl/fo/znh7sowqb3i61fropu84s/AG_brWtLrAlGqu0NKJ8JcKU?rlkey=a7g0sdhfens44e5s592sfql6r&dl=0
1 week,11/27/2018,Hybrid,Toyota,Auris,1.8  Automatic H2 Comfort,Stationcar,SB1ZS3JE60E469209,Red,"  282,000 ","  7,800 ",https://www.dropbox.com/scl/fo/ou5rfnlvm0g1wb28x7fef/AKWggDvUBPjEtCmDbvNSE7o?rlkey=gqwqmg8ekwnrs6g6o14wykfjx&dl=0
1 week,4/16/2019,Benzin,BMW,X3,2.0 249HP Automatic xDrive 30i,SUV,WBATR9108JLC57512,White,"  139,900 ","  20,000 ",https://www.dropbox.com/scl/fo/ngeo4m7ndb67nauhaqjh5/AKfprsJix3vUwhUFmxrNC3s?rlkey=n6dn2uac8py3txwtcg4owrg3u&dl=0
1 week,6/19/2021,Benzin,Skoda,Karoq,1.5 148HP Automatic Celebration,SUV,TMBJR7NU3MC205556,Blue,"  71,700 ","  18,500 ",https://www.dropbox.com/scl/fo/3qfiec2d10fjb4x5greyk/AEMJf36nXJqcgI8KUB_t44M?rlkey=45ikn6c8qyhgjrymtyv9lnyt9&dl=0
1 week,3/15/2019,Benzin,Volkswagen,Golf,1.5 148HP Automatic Comfortline,Stationcar,WVWZZZAUZKP556039,Grey,"  207,000 ","  7,500 ",https://www.dropbox.com/scl/fo/ivl6dqudtzg0v2ssvovtx/AJnKO7Q1JQ_OI0dU8z_Y3os?rlkey=n23girshqrsu14cjeyw6bnw98&dl=0
1 week,3/29/2017,Benzin,Nissan,Qashqai,1.2 114HP Manual Visia,SUV,SJNFEAJ11U1972139,Black,"  103,480 ","  6,500 ",https://www.dropbox.com/scl/fo/064gwgs6tsfxp0qaekaf4/AOJcykRG2IGClSUSo0kV_qM?rlkey=6sysg7lt98jeidotk3psfw2vu&dl=0
1 week,5/6/2019,Benzin,BMW,3 Series,2.0 182HP Automatic 320i M-sport,Stationcar,WBA8G3105KAH47265,Grey,"  113,000 ","  13,500 ",https://www.dropbox.com/scl/fo/ejvvq6jw7nuvb7cgjd665/APN7vkbj1apCsprdBKtvO1Q?rlkey=lzidl8xcs1gx2qvfzeb07k6ie&dl=0
1 week,10/11/2018,Hybrid,Toyota,Auris,1.8  Automatic H4,Stationcar,SB1ZS3JE30E460001,Blue,"  160,000 ","  10,200 ",https://www.dropbox.com/scl/fo/coesvj27gqxdkqj1n6hi9/ALZAxmfR-S0vz9jfAk4NLF0?rlkey=b3z10uufp9rytkgwle5ujeqpo&dl=0
1 week,1/29/2020,Diesel,Skoda,Octavia,2.0 148HP Automatic Style,Stationcar,TMBJJ9NE4L0094768,Black,"  209,945 ","  8,800 ",https://www.dropbox.com/scl/fo/59ksz0io50u0luwyc09x3/AHKaO-IyzYMBlL1lsljD-o4?rlkey=kns1y9lo6nalv01yhizfbpgs4&dl=0
1 week,3/28/2017,Benzin,Mazda,Cx-3,2.0 119HP Manual Vision,SUV,JMZDK6W7610180146,Red,"  116,949 ","  10,000 ",https://www.dropbox.com/scl/fo/kyglrivaoonmv9pe3crlj/ACfU8cP1l8N43xTa-VGw3PY?rlkey=o4jovwjfdwtl3c7yox7vh42n6&dl=0
1 week,4/30/2024,Benzin,Dacia,Duster,1.3 148HP Automatic Journey,SUV,VF1HJD20171704036,Grey,"  24,000 ","  17,600 ",https://www.dropbox.com/scl/fo/y48ido4ur6isy337w35wf/AM01RJ_6vj_0b7_ZwjgFp38?rlkey=hpvqm16ju8fhiyxwylgnyvcdp&dl=0
1 week,5/18/2020,Hybrid,Peugeot,3008,1.6 179HP Automatic GT Line,SUV,VF3M4DGZULS112858,Grey,"  73,000 ","  15,000 ",https://www.dropbox.com/scl/fo/e151nd6seov21vz1lnsxm/ACTqMjWHCk-W-kGLVWrLI4E?rlkey=x7ed1ur9cge2050k6fow7s9gs&dl=0
1 week,8/8/2017,Benzin,Mercedes,Gla-Class,1.6 154HP Automatic GLA 200,SUV,WDC1569431J410394,Grey,"  221,000 ","  9,800 ",https://www.dropbox.com/scl/fo/jqd265m6s89mv2ey09u8h/AAJ8MP8DB7J7gT-iD8LgdBg?rlkey=bu4e1cidyldlfbcmlqpdfesgp&dl=0
1 week,6/16/2016,Benzin,Nissan,Qashqai,1.2 114HP Manual Acenta,SUV,SJNFEAJ11U1709184,White,"  110,000 ","  6,400 ",https://www.dropbox.com/scl/fo/8o0lnssd97t5ev63nu19h/AIk9N9a1eSCsGyOsCKRIslA?rlkey=kafvz9pr0bpju79a6cxfqlfp3&dl=0
1 week,2/9/2016,Benzin,Opel,Corsa,1.4 74HP Manual Enjoy,Hatchback,W0L0XEP68G4017836,White,"  94,460 ","  5,600 ",https://www.dropbox.com/scl/fo/bh4bv9f3pbv0ebcaaquvq/AM0C-SrJ4wPNlEQWHov5uDs?rlkey=ei4s3herhocbtou4jp7fzyrxx&dl=0
1 week,1/26/2018,Benzin,Mazda,Cx-5,2.5 192HP Automatic Optimum AWD,SUV,JMZKFGWMA00672011,Brown,"  137,043 ","  16,000 ",https://www.dropbox.com/scl/fo/x0k2qhz78bglxqmlchwg4/ACbCg_o98M5kiUsg_c-GdIk?rlkey=va822n08g9dpzt7b36t1y0n2p&dl=0
1 week,10/31/2018,Benzin,Fiat,500X,1.0 119HP Manual Cross,SUV,ZFA3340000P727216,Green,"  141,619 ","  6,500 ",https://www.dropbox.com/scl/fo/313bju9l1f8zqr6jck0ou/AKEl-OYRpzD0Vwgo698VWtQ?rlkey=8mwb16atr8o7hhnhbj3j2md5d&dl=0
1 week,1/14/2022,Benzin,Skoda,Kamiq,1.0 109HP Manual Tour de France,SUV,TMBGR7NW7N3041922,Black,"  88,400 ","  12,500 ",https://www.dropbox.com/scl/fo/q485thxl7spapcnnvri5b/ABuC41cLAA_sJlqTKf_iIp8?rlkey=ti0ngjwkinorjpztziz45wpvo&dl=0
1 week,9/1/2016,Benzin,Audi,A5,1.8 143HP Automatic S-Line,Hatchback,WAUZZZ8T8GA064644,Grey,"  219,500 ","  7,500 ",https://www.dropbox.com/scl/fo/o72kyouojr7dgfg69vapu/AC5C4JEoUTPWbV9Zdl3U6o4?rlkey=v4sk2a3pg7uam29h1kwtkav99&dl=0
1 week,6/21/2017,Benzin,Ford,S-Max,1.5 159HP Manual Titanium,MPV,WF0JXXWPCJGL30745,Black,"  330,000 ","  3,800 ",https://www.dropbox.com/scl/fo/ralso2g77973vecatw7xu/AOqTJhBcMxDyIYMHfIPsMxI?rlkey=yd0758w9mbl4927wxzmevfbfa&dl=0
1 week,4/22/2015,Benzin,Mercedes,B-Class,1.6 121HP Manual B 180,Hatchback,WDD2462421J326011,Red,"  161,000 ","  6,800 ",https://www.dropbox.com/scl/fo/4001ijbonq6ermzpm9s5u/AIGMniRsfwLuSzMurSnblYI?rlkey=3px89zegbvvw60mec5b2qh0mc&dl=0
1 week,4/12/2021,Benzin,Mazda,Cx-5,2.0 163HP Automatic Sky,SUV,JMZKFGW7A90168489,White,"  37,500 ","  20,500 ",https://www.dropbox.com/scl/fo/d58vozmju691oksam1yck/AKLNuXUPK5q1gJoM-eM1acY?rlkey=x0gov4k58mqtmb5eyhy5omirq&dl=0
1 week,6/2/2020,Benzin,Audi,Q2,1.5 148HP Automatic 35 TFSI,SUV,WAUZZZGA8LA033680,Grey,"  158,266 ","  12,000 ",https://www.dropbox.com/scl/fo/dvlezc3n2s78ndp5vd8ph/ALJpRGqNDA6qfu5yS4B9JEU?rlkey=evhr7mg6ukho1gacuuapuu4nj&dl=0
1 week,7.7.2021,Petrol,Citroen,C3,"1,2 PureTech Le Mans 83HK 5d",hatchback,VF7SXHMRVMT516872,Grey,"  73,000 ","  7,000 ",Ask for pictures
1 week,10.7.2014,Diesel,VW,Polo,"1,4 TDI BMT Highline 90HK 5d",hatchback,WVWZZZ6RZFY064440,Black,"  280,000 ","  2,300 ",Ask for pictures
1 week,23.4.2018,Petrol,Skoda,Fabia,"1,0 TSI Ambition 95HK 5d",hatchback,TMBEP6NJ4JZ160398,Silver,"  92,000 ","  6,300 ",Ask for pictures
1 week,22.9.2006,Diesel,VW,Passat,"2,0 TDI DSG 140HK 6g Aut.",stationcar,WVWZZZ3CZ7E061625,Metallic,"  386,000 ",  900 ,Ask for pictures
1 week,2.5.2014,Petrol,Peugeot,2008,"1,2 VTi Allure 82HK",suv,VF3CUHMZ0EY022241,White,"  180,000 ","  2,500 ",Ask for pictures
1 week,24.11.2017,Petrol,Opel,Astra,"1,0 Turbo Enjoy 105HK 5d",hatchback,W0VBD6EA3JG028150,Black,"  179,000 ","  3,200 ",Ask for pictures
1 week,1.4.2019,Petrol,Suzuki,Vitara,"1,0 boosterjet 5-dørs Active",suv,TSMLYD01S00635957,Grey,"  72,000 ","  11,700 ",Ask for pictures
1 week,31.1.2019,Diesel,Kia,Sportage,"1,6 CRDI 136 HK Intro Edition DCT aut",suv,U5YPH812GKL665707,Black,"  141,000 ","  11,800 ",https://www.dropbox.com/scl/fo/xvijsaelb7uf84ijt9kdb/AP90MzPeJiE9xk43C5jXdtg?rlkey=ti3k8jqcjbqo3uqkkzcphg3nr&dl=0
1 week,25.9.2015,Diesel,Nissan,Qashqai,1.6 130HP Automatic Acenta,SUV,SJNFDAJ11U1072299,Grey,"  159,000 ","  7,000 ",https://www.dropbox.com/scl/fo/hjuqunq9n0r8gx4173v05/AGCn9wpU-eCGv6p6VyahyT8?rlkey=0dwx7x5xxb3lirvnzsf60plm1&dl=0
2 Weeks,2016-06-28,Benzin,Opel,Zafira,1.4 139HP Automatic Enjoy,MPV,W0LPD9EC4G1076267,Grey,"  124,000 ","  7,200 ",https://www.dropbox.com/scl/fo/0yb1viawrf12zahf06a01/ACAhBC8GWgk638zxh22LFlk?rlkey=93egu6buom5fus2ekzmnbf5cr&dl=0
2 Weeks,3/22/2023,Benzin,Suzuki,Vitara,"1,4 129HP Manuel Adventure",SUV,TSMLYDD1S00B21132,Silver,"  83,000 ","  15,500 ",Ask for  pictures
2 Weeks,2017-02-28,Benzin,Renault,Captur,0.9 89HP Manual TCe,Hatchback,VF12RA11A56600776,Orange,"  140,312 ","  5,500 ",https://www.dropbox.com/scl/fo/8m1txxy3ug2941pyevwpk/AFpF83_B5W7xHDaALchXZeY?rlkey=6hfqtac0az4a88ajmz9ghw6h0&dl=0
2 Weeks,2019-05-21,Benzin,Volkswagen,T-Cross,1.0 115HP Manual -,SUV,WVGZZZC1ZKY004909,White,"  89,309 ","  11,300 ",https://www.dropbox.com/scl/fo/3n6yvzmoukhztkhrhzb03/ANqcSz1YVxQv0zQIDQ1serc?rlkey=9p92s0qputfjcwh55fic3u85q&dl=0
2 Weeks,2016-10-11,Benzin,Opel,Astra,1.4 148HP Automatic Innovation,Stationcar,W0LBE8EC0H8008705,Grey,"  122,600 ","  6,500 ",https://www.dropbox.com/scl/fo/ho6o4mu9zbtudtykjgwac/AIEjS-ab152PysncS6hyzeI?rlkey=zooqhodv8qdgpcdned1hrwi9w&dl=0
2 Weeks,2020-12-16,Benzin,Volkswagen,Tiguan,1.5 148HP Automatic Life,SUV,WVGZZZ5NZMW037974,Black,"  143,353 ","  17,000 ",https://www.dropbox.com/scl/fo/74n5aq9586m1q68c39xsk/AO5CRVa6955U3Hg4YREpQ_M?rlkey=e2ygkajwwyj1sdcqwr2mgcn6s&dl=0
2 Weeks,2020-03-10,Benzin,Skoda,Karoq,1.5 148HP Automatic STYLE Pano,SUV,TMBJR7NUXL5034663,Grey,"  115,000 ","  16,000 ",https://www.dropbox.com/scl/fo/cz2unhvtr5msw7rdkdxch/AB3ErbvqGhljLWAvR0zos2I?rlkey=09rflm9njv9ud4c8jsbbr2yyn&dl=0
2 weeks,2021-09-06,Benzin,Suzuki,Vitara,1.4 128HP Manual Active,SUV,TSMLYDD1S00906162,Grey,"  79,000 ","  13,000 ",https://www.dropbox.com/scl/fo/2t3ybmqosr5bliok2ngp9/AHWOQUOeWJhvLDl8D7R6HgU?rlkey=pki3ubr7cmwchzvttdz1w75u4&dl=0
2 weeks,2019-07-02,Hybrid,Toyota,Corolla,1.8  Automatic H3,Hatchback,SB1K93BE20E039592,Red,"  49,000 ","  16,300 ",https://www.dropbox.com/scl/fo/h02puab6vmvs1vg8c5cqs/AAo82NwMOq-4DhqDtJH_MtA?rlkey=77pa9mnprcay7lo8t1hrl2z8t&dl=0
2 weeks,2018-01-23,Benzin,Mazda,Cx-5,2.0 163HP Manual Optimum,SUV,JMZKF6W7600647014,Grey,"  137,000 ","  14,200 ",https://www.dropbox.com/scl/fo/1ih0sv0tg43lfdmd7tr33/AD8XPFrRZ-BmtEaEVc5hAKE?rlkey=hxpam57vawpq4jmsmeyuq2bxa&dl=0
2 weeks,2019-06-06,Benzin,BMW,3 Series,2.0 182HP Automatic 320i,Stationcar,WBA8G3106KAH49896,Blue,"  115,000 ","  14,000 ",https://www.dropbox.com/scl/fo/f9u8jz590qmlg0v7kb6rd/AHjJBQWU-LOtLfMPHKybeXM?rlkey=bhhn8r1rvbnzabjunjoa0u166&dl=0
2 weeks,21.10.2009,Diesel,BMW,318d,"Touring 2,0 D 143HK Stc 6g",stationcar,WBAUX11090A632536,White,"  388,000 ","  1,600 ",Ask for  pictures
2 weeks,2.2.2024,Petrol,Renault,Austral,Mhev 160 auto,suv,VF1RHN00171625717,red,"  65,000 ","  21,500 ",Ask for  pictures
2 weeks,30.04.2019,Petrol,Suzuki,Vitara,"1,0 Boosterjet Active manuel,",Suv,TSMLYD01S00633778,Black,"  48,000 ","  11,900 ",Ask for  pictures
Immidiatly ready,18.03.2021,Electric,VW,ID.3,EL Life 204HK 5d Aut,Hatchback,WVWZZZE1ZMP049510,Silver,"  213,000 ","  9,000 ",Ask for  pictures
2 weeks,2020-08-17,Benzin,BMW,2 Series,1.5 108HP Manual 216i,MPV,WBA6V110605R95786,Grey,"  125,000 ","  9,000 ",https://www.dropbox.com/scl/fo/xj18yjgwgjrj1l0t78duk/AJhmzSRBXF4_Uk_DQCsC9jg?rlkey=zgwddhb0db8h5hqfwr9piwucc&dl=0
2 weeks,2019-02-07,Benzin,Mazda,Cx-5,2.0 163HP Manual Optimum,SUV,JMZKF6W7600762986,Grey,"  159,000 ","  14,800 ",https://www.dropbox.com/scl/fo/lh1p2npdr65suf3y4gkyb/AEru72Jp3KckDL44P1uKOTA?rlkey=vmsaf1ke5kzxt00e3yqs5oq0t&dl=0
2 weeks,2018-10-06,Benzin,Volkswagen,Touran,1.4 148HP Automatic Comfortline,MPV,WVGZZZ1TZJW074949,Blue,"  146,600 ","  12,200 ",https://www.dropbox.com/scl/fo/4z3wxybg6wt3m8il1bc7x/AAxNunyx2vI7lsDnOU3wANg?rlkey=agb92atjtw71q8fizhaz9rsln&dl=0
2 weeks,8/30/2022,Benzin,Volkswagen,Tiguan,1.5 148HP Automatic Life,SUV,WVGZZZ5NZNW065514,Grey,"  87,000 ","  22,700 ",https://www.dropbox.com/scl/fo/q1kwqjhmw22imslf5ne44/AIrapqS2RYg2Ca4toAkBz8U?rlkey=lsq80raujk5zbm4cqusgeaqgi&dl=0
2 weeks,2018-05-30,Benzin,Volkswagen,Passat,1.4 148HP Automatic Highline,Stationcar,WVWZZZ3CZJE203166,Grey,"  254,100 ","  8,500 ",https://www.dropbox.com/scl/fo/ktd8vy32p6ffcugjyoxjs/AN4qz2tLVtnBirTrGC2hqFs?rlkey=767i5f1awmitiizk6xzvdx8so&dl=0
2 weeks,2021-03-10,Hybrid,Toyota,Corolla,1.8  Automatic H3 Smart,Stationcar,SB1Z93BE90E170341,Brown,"  141,000 ","  15,500 ",https://www.dropbox.com/scl/fo/tqfiocnce850obm6jfcsa/AOYDQPPzo00-xIS85OA_I-8?rlkey=n306og8gyhqx49dj7616p1jwh&dl=0
2 weeks,2024-03-19,Hybrid,Suzuki,S-Cross,1.5 101HP Automatic Adventure,SUV,TSMJYAH2S00A58841,Silver,"  22,550 ","  22,000 ",https://www.dropbox.com/scl/fo/yfvtqiurb10od07v0z6sk/AOwBFtNDgAXHv2zLZNSXsFY?rlkey=6novnyresegm7nwznb9t8y3if&dl=0
2 weeks,2019-04-04,Benzin,Volkswagen,Golf,1.5 148HP Automatic Highline,Stationcar,WVWZZZAUZKP566759,Blue,"  110,457 ","  12,500 ",https://www.dropbox.com/scl/fo/btv1v7bmodic1lf8cd001/AFG9461jdXvvdT2F1xKaucU?rlkey=v9f2prwm40n40ogwhg4egs56k&dl=0
2 weeks,2018-10-22,Benzin,Mazda,Cx-3,2.0 120HP Automatic Optimum,SUV,JMZDK6W7A00403878,Grey,"  152,350 ","  11,000 ",https://www.dropbox.com/scl/fo/zaxbdnu1qvze1q0a8gnat/AH9fymI39CoUNjqXmZuhjnc?rlkey=tdyjuuqjzusk4g0pks2tgbosq&dl=0
2 weeks,2017-02-23,Benzin,Mercedes,A-Class,1.6 155HP Automatic A 200,Hatchback,WDD1760431J582004,Black,"  154,000 ","  9,500 ",https://www.dropbox.com/scl/fo/cwrq2j9ozkuvwhygc2kky/ACdfkR_YmarUbO9LUBxoZQ0?rlkey=c7x47uj5lpvfo55ejip4rhbti&dl=0
